c,3,33,333,3333
g,7,77,777,7777
d,4,44,444,4444
e,5,55,555,5555
c,3,33,333,3333
b,2,22,222,2222
g,7,77,777,7777
f,6,66,666,6666
b,2,22,222,2222
b,2,22,222,2222
e,5,55,555,5555
a,1,11,111,1111
f,6,66,666,6666
b,2,22,222,2222
g,7,77,777,7777
b,2,22,222,2222
d,4,44,444,4444
e,5,55,555,5555
c,3,33,333,3333
b,2,22,222,2222
b,2,22,222,2222
c,3,33,333,3333
d,4,44,444,4444
g,7,77,777,7777
b,2,22,222,2222
e,5,55,555,5555
d,4,44,444,4444
a,1,11,111,1111
g,7,77,777,7777
b,2,22,222,2222
f,6,66,666,6666
c,3,33,333,3333
